,ActivePower,WindSpeed,Temperature
2019-01-09 10:00:00+00:00,202.2271,4.4789,30.6791
2019-01-09 11:00:00+00:00,219.1933,4.5195,30.1109
2019-01-09 12:00:00+00:00,182.8185,4.4735,29.2954
2019-01-09 13:00:00+00:00,492.3357,6.0685,28.3257
2019-01-09 14:00:00+00:00,829.2023,7.0258,27.2905
2019-01-09 15:00:00+00:00,1002.2847,7.4618,26.0205
2019-01-09 16:00:00+00:00,885.2731,7.2746,24.9998
2019-01-09 17:00:00+00:00,915.4009,7.2955,24.3935
2019-01-09 18:00:00+00:00,969.7508,7.3086,22.5047
2019-01-09 19:00:00+00:00,1644.6735,8.9366,22.3415
2019-01-09 20:00:00+00:00,1495.6555,8.4884,22.2386
2019-01-09 21:00:00+00:00,1333.9508,8.0297,22.5011
2019-01-09 22:00:00+00:00,1199.9057,7.6506,22.7677
2019-01-09 23:00:00+00:00,1065.8605,7.2715,23.0342
2019-01-10 00:00:00+00:00,931.8153,6.8924,23.3008
2019-01-10 01:00:00+00:00,797.7702,6.5133,23.5673
2019-01-10 02:00:00+00:00,663.7250,6.1342,23.8339
2019-01-10 03:00:00+00:00,529.6798,5.7552,24.1004
2019-01-10 04:00:00+00:00,395.6347,5.3761,24.3670
2019-01-10 05:00:00+00:00,493.5766,5.6819,25.2395
2019-01-10 06:00:00+00:00,406.9258,5.3505,26.8077
2019-01-10 07:00:00+00:00,294.0800,4.8586,27.9894
2019-01-10 08:00:00+00:00,175.3622,4.4457,28.9279
2019-01-10 09:00:00+00:00,209.3336,4.2906,29.4707
2019-01-10 10:00:00+00:00,190.4770,4.3634,29.8801
2019-01-10 11:00:00+00:00,252.5489,4.6793,29.3866
2019-01-10 12:00:00+00:00,488.3739,5.7259,28.1199
2019-01-10 13:00:00+00:00,833.6246,6.7745,26.9600
2019-01-10 14:00:00+00:00,1163.1047,7.7796,25.7122
2019-01-10 15:00:00+00:00,1497.3701,8.5102,24.5445
2019-01-10 16:00:00+00:00,1528.3332,8.5581,23.4565
2019-01-10 17:00:00+00:00,1434.5302,8.2970,22.6916
2019-01-10 18:00:00+00:00,1481.8035,8.3381,21.8896
2019-01-10 19:00:00+00:00,1305.3209,8.0818,21.4497
2019-01-10 20:00:00+00:00,1474.8296,8.4901,21.2772
2019-01-10 21:00:00+00:00,1054.0433,7.5978,21.0093
2019-01-10 22:00:00+00:00,517.1575,6.3206,20.7760
2019-01-10 23:00:00+00:00,176.3968,4.6110,20.5587
2019-01-11 00:00:00+00:00,273.2579,5.2304,20.1516
2019-01-11 01:00:00+00:00,526.7414,6.3431,20.4341
2019-01-11 02:00:00+00:00,66.9500,3.4894,21.2970
2019-01-11 03:00:00+00:00,108.1925,3.7895,22.7040
2019-01-11 04:00:00+00:00,203.7882,4.3925,23.8328
2019-01-11 05:00:00+00:00,128.0524,3.9997,25.5414
2019-01-11 06:00:00+00:00,45.7069,3.4819,27.3635
2019-01-11 07:00:00+00:00,9.1313,3.2053,28.8509
2019-01-11 08:00:00+00:00,-5.7460,2.7970,30.4757
2019-01-11 09:00:00+00:00,10.0992,3.0373,31.1121
2019-01-11 10:00:00+00:00,97.8335,3.7762,30.2873
2019-01-11 11:00:00+00:00,64.6830,3.6078,29.9433
2019-01-11 12:00:00+00:00,231.0959,4.7576,28.9527
2019-01-11 13:00:00+00:00,631.2905,6.4669,27.4381
2019-01-11 14:00:00+00:00,1011.2611,7.4841,26.3149
2019-01-11 15:00:00+00:00,1220.0270,7.8581,24.7902
